idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
SO’XTASI SOVUQ,,"yoqimsiz, badhazm.",,,so’xti sovuq,,istara(si) issiq; I; I,,"Xumoxon yomon ko’radi shu so’xtasi sovuq Rahmonqulovni. . «Aya, o’lgur so’xti sovuq jo’nadimi? Nazarimda hovlimiz, uyimiz kengayib qolganga o’xshaydi-ya», – dedi xoxolab Tansiq.",A.Muxtor,Tug’ilish Oybek
SO’Z BERMASLIK,kim? kimga?,"boshqalarga imkon bermay, nuqul o’zi gapirmoq.",,I,gap bermaslik; so’z; bera(di)mi?!; so’z(i)ni; bermaslik; gap; bermaslik,,,,"Xolmirza hammani og’ziga qaratib olibdi, hech kimga so’z bermay gap ma’qullamoqda. Xuftongacha Marahimning jag’i tinmadi, u hech kimga gap bermaslikka harakat qilar edi.",Sh.Rizo,"Qor yog’di, izlar bosildi"
SO’Z BERMASLIK,kim? kimga?,yoki,2,I,gap bermaslik; so’z; bera(di)mi?!; so’z(i)ni; bermaslik; gap; bermaslik,,,,"Qarib qolibsan, soqolingni ham oqartirib qo’yibsan. Ha, soqolga so’z berma, bemaza soqol oqaraveradi, qalbing salomat bo’lsin, shuning o’zi bas, oshnam.",,
SO’Z BERMASLIK,kim? kimga?,bahslashuvda yutib chiqishga qodir bo’lmoq.,3,I,gap bermaslik; so’z; bera(di)mi?!; so’z(i)ni; bermaslik; gap; bermaslik,,,,Ammo Egamberdi – mashinaning quli. Tez orada uncha-muncha mexanikka ham so’z bermay qo’yadi u.,,
SO’Z BERILDI,kimga?,muzokarada gapirishga rasmiy ruxsat bermoq.,,,SO’Z BERMOQ; so’zni bermoq; so’z bermaslik II,,so’z olmoq I,,"«Menga so’z bering, o’rtoq Toshpo’latov»,– dedi keksa brigadir Ortiqov joyidan qo’zg’ala turib. Kun tartibi tasdiqlangandan keyin, axborot uchun so’z o’rtoq Ubaydullayevga berildi.",N.Nazarov,Zamon
SO’Z BERMOQ,kim? kimga?,ahd-u paymon qilmoq.,,II,bergan so’z(i); so’z olmoq II,,,,"Men ham sizday haqqoniy bo’lishga so’z beraman. Bizni haqiqat birlashtirsin. Doim haqiqat! Lekin onasiga bergan so’zi esiga tushib, ko’z yoshini yutib, akasining choponi ustida uxlab qoldi.",I.Rahim,Chin muhabbat
SO’Z BORDI,kim? yoki nima to’g’risida? (ustida),gapirildi.,,,,,,,"Saidaga oylik belgilab bo’lmas, shuning uchun unga biron ish berish to’g’risida so’z borar edi.",A.Qahhor,Sinchalak
SO’Z OLMOQ,,Muzokarada gapirishga rasmiy ruxsat olmoq.,,,so’zni ... olmoq,,so’z bermoq; I; so’z olmoq II; so’z; bermoq; II; II,,"Abdujabbor otadan keyin Bo’ston so’z oldi. Bitta-bitta so’z olib gapirish kerak. So’zni Juman Sariyev oldi. kim? kimdan? Biz unga vigovor berib, minba’d o’sha Saidova bilan aloqa qilmaslikka so’z olaylik. Unsin akasini quchoqlab, bir kun kelishga undan so’z olib, quvonch bilan chol orqasidan ketdi.",A.Muxtor,Tug’ilish
SO’Z OCHMOQ,,[sӧz ač,,,,,,,"= kim? O’turub, har bir bobdan so’z ochib so’zladim taqrib bilan.",S.Saroyi,Gulistoni bit-turkiy
SO’ZI BOL,,[sӧzi bal] tar.,,,,,,,"Aning ortincha bir bo’yi tol, so’zi bol, sohibjamol qul bag’ishladi.",S.Saroyi,Gulistoni bit-turkiy
SO’Z(I) KELISHMADI,kimlarning?,"fe’l-atvori, biror jihati bilan bir-biriga mos kelmaslik.",,,,,,,"Axir Gavharning qizlik sha’ni xavf ostida qolmaydimi? Ya’ni yurgan yigiti bilan so’zi kelishmasa-yu, orani uzsa, «Bu falonchi bilan yurgan» deb gap-so’z bo’lmaydimi?",P.Qodirov,Uch ildiz
SO’ZI TOTLI,,[sӧzi tatlï] tar.,,,,,,,"Ul aytti: «Ey so’zi totli, yuzi qutli, o’zi komil, Menim aybim ingan ko’btur, meni mentek kishi bilmas».",S.Saroyi,Gulistoni bit-turkiy
SO’Z(I)NI O’TKAZMOQ,kim? [o’zining] kimga?,"aytgani inobatga olindi, ma’qullandi.",,,SO’Z(I) O’TDI; gap(i) o’tdi; gap(i)ni o’tkazmoq; so’z; o’tmas,,,,". Po’latjon qahramon, ko’kragi to’la orden. Hamma yoqda gapi o’tadi. Tabiati juda yumshoq bo’lgan Mo’min Muslimovich esa hech kimga gapini o’tkaza olmasdi. Mening ham xo’jayinim bor, so’z o’tmas, o’jar ingliz u.",P.Qodirov,Uch ildiz
SO’Z(I)DA QATTIQ TURMOQ,kim? [o’zining],o’z fikrini o’tkazishga intilib qaysarlik qilmoq.,,,so’z(i)da turmoq II: gap(i)da turmoq II; I,,,,"U [Matluba] faqat olgan ilmining kuchini Baraka boboga amalda ko’rsatishi lozim, ishonchi komil bo’lsa, so’zida qattiq turib, o’t ekishi, o’tni o’stirib, Baraka boboga taklifining o’rinliligini isbotlab berishi kerak.",S.Abduqahhor,Hayotning boshlanishi
SO’Z(I)DAN QAYTMOQ,kim? [o’zining],"ahdidan voz kechmoq, ahdini buzmoq.",,,so’zdan qayt­moq; gapdan qaytmoq; lafz(i)dan qaytmoq; fikr(i)dan qayt­moq,,gap(i)da turmoq I; I; II; gap(i)ni qaytarmoq; so’z(lari) bir yerdan chiqdi; I,,"«Dadang boyaqishgayam jabr bo’ldi, – kuyunib javob berdi ona, – ketini o’ylamasdan va’da bergan, endi so’zidan qaytishni o’ziga ep bilmaydi». «Agar o’zim rozi bo’lmasam traktorga surgatib ham olib kelolmasdilar». – «Shu gapdan qaytmaysiz-a? Bo’pti, bitta universal sizniki». Kechagina nima degan edingiz, yana lafzingizdan qaytdingizmi? Noinsof! kim? kimning? Tashqari chiqib, xiyobon bilan biroz yurgach, Botir Bo’stonni o’z hovlisiga taklif qildi. «Kampirga va’da berib keldim, shu safar so’zimni qaytarmaysiz», – dedi. Shu soddaligi, ko’ngilchanligi orqasida birovning i",S.Nazar,Yashil boylik
SO’ZGA CHIQMOQ,kim?,majlisda rasmiy ravishda gapirmoq.,,,,,,,"Ochil so’zini tamom qilar-qilmas Vitaliy Aleksandrovich so’zga chiqdi. Majlis qanday o’tdi, nega so’ ga chiqmadingiz? Bular asosan o’zlaridan oldin so’zga chiqqan notiqlarning fikrlarini yangidan-yangi faktlar bilan tasdiqlashdi.",A.Qahhor,Sinchalak
ТAAJJUBGA SOLMOQ,kim? kimni?,ajablanishiga sabab bo’lmoq.,,,,,,,Shunday paytlarda u Turg’unga dovulga sevingan bo’ron qushiga o’xshab ko’rinar va taajjubga solardi.,O.Yoqubov,Tog’ qizi
TABIATTA O’TURMOQ,,[tabi’atta otur=] tar.,,,,,,,"Yomon odat tabiatta o’tursa, Ul andan ketmayur to o’lmoyincha.",S.Saroyi,Gulistoni bit-turkiy
TAFT(I)DAN TUSHMOQ,kim? [o’zining],qizitish kuchi pasaydi.,1,,,,,,Ko’k yuzida olov sochib yurgan quyosh og’ib bormoqda. Lekin uning issiq nafasi hanuz taftidan tushma gan.,S.Abduqahhor,Dugonalar uchrashganda
TAFT(I)DAN TUSHMOQ,kim? [o’zining],qiziqqonlik holati pasaydi.,2,,,,,,"...xotiningiz sal taftidan tushsin, baribir onalik muhabbati qo’ymaydi, bolani sizdan olib qo’yadi. «Qarib quyulmagan chol-e», dedi kampir sal taftidan tushib, so’ng arazlagannamo choy uzatib, yalindi.",H.Nazir,Ko’rmana
TAFTINI KESMOQ,nima? nimaning?,(issiqning...) salbiy ta’sirini pasaytirmoq.,,,,,,,"Kun misday qizib ketgan, faqat adir va soylardan kelgan shabada kunning taftini kesib, odamlarga orom berib turmoqda.",H.Nazir,So’nmas chaqmoqlar
TAFTINI OLMOQ,kim? nimaning?,"(alamning...) dard-alamiga sherik bo’lmoq, hamdard bo’lmoq.",,,,,,,"Ko’z yoshi buloq Boboqulning do’sti edi. Voh, qancha-qancha hasratlarini tinglagan uning! ...Otasi o’lib, yetim qolganida ko’z yoshini yuvgan, dardini birga tortishgan, ko’ksidagi alamning taftini olgan",S.Anorboyev,Oqsoy
TAGI CHIQDI,nimaning?,"zaminida yotgan ma’no, mohiyat oshkor bo’ldi.",,,,,,,"«... Botir aka, hozir odamlar, moxovdan hazar qilgandek mendan qochishadi. Hayronman nima qilishga». – «Hayron bo’lma. Bu gapning tagi chiqib qolar. Eshonning xotinini kimdir tezlayapti. Kimlardir qo’ltig’iga suv purkayapti».",S.Ahmad,Hukm
TAGIGA SUV KETDI,kimning?,"puchga chiqdi, unutildi.",,,,ostiga suv ketdi,,,"O’shanday beozor kunlarning tagiga suv ketdi. O’ylab turib, Munisxonning so’ziga ishonmaslikka yaqinroq bir fikrga keldi, ammo bir bahona bilan ularning oldiga yana kirganida bu fikrning ham ostiga suv ketdi.",A.Qahhor,Sarob
