idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
"«ALI» DESA(...), «BALI» DEMOQ",kim?,"aytishmoq, e’tiroz javobini bermoq.",,,,"gap qaytarmoq 2; «dard» desa(...), «balo» demoq; a’zoyi badan(i)dan ter chiqib",,,"«Traktorchilar o’z odamlarimiz. Yer bizniki, ekin bizniki. Ularni qanday ishlatishni o’zimizga qo’yib beringlarda». – «Ali desa, «Bali» deysan-da, Komil». Haq gap oldida odam g’iring demas ekan: «Ali» desa, «Bali» deydigan o’jar kishi churq etolmadi-ya...",S.Ahmad,Kuyov
A’ZOYI BADAN(I)DAN SOVUQ TER CHIQARIB YUBORMOQ,nima? kimning?,ruhiyatida juda keskin o’zgarish sodir bo’ldi – ruhiyatini juda keskin o’zgartirdi.,,,A’ZOYI BADAN(I)DAN SOVUQ TER CHIQIB KETDI,,,,"Institutga yetib qolganimda to’plangan yoshlar orasida birga imtihon topshirgan tanish qiz-yigitlarga ko’zim tushib, to’satdan yuragim shuv etdi-yu, a’zoyi badanimdan sovuq ter chiqib ketdi Bu fikr Sherbekning a’zoyi badanidan sovuq ter chiqarib yubordi «Ho’kuyov bola!» – «Labbay, aka!» Kuyov pildiragancha yetib keldi... Ashraf amaki yuzini chirt o’girdi. A’zoyi badanidan ter chiqib ketdi Injener sevgan xotinidan bu kutilmagan og’ir javobni eshitganidan keyin badanidan sovuq ter chiqib ketdi «Shuni aytib bering, haligi so’zlaringizga ishonmay iloj qolmaydi», – so’radi Toshpo’latov sinovchi ko’",S.Anorboyev,Oqsoy
A’ZOYI BADANIDAN O’TIB KETMOQ,kimning?,o’ta xafa bo’lmoq.,,,badanidan o’tib ketmoq,,,,"– Sarvi, baland poshna tufli olib berayinmi? Harna bo’ying cho’zilardi, – dedi hazil aralash. Erining bu gapi Sarvi xolaning a’zoyi badanidan o’tib ketdi.",S.Anorboyev,Otaning xayollari
ABJAG’(I) CHIQDI – ABJAG’(I)NI CHIQARMOQ 1,kimning? kim? kimning?,qattiq jarohatlanmoq.,,,,iyig’(i) chiqdi,,,"Bir hovuch pul uchun aqldan ozib, Butun dunyoni ham yoqishga tayyor. Bu – o’sha abjag’i chiqqan jahongir, Bu – o’sha o’limtik, jodugar ayyor. Fashistni ur, , abjag’ini chiqar, u yog’i bilan ishing bo’lmasin.",,
ABJAG’(I) CHIQDI – ABJAG’(I)NI CHIQARMOQ 1,kimning? kim? kimning?,"sifatini yo’qotib, yaroqsiz holga kelmoq.",2,,,iyig’(i) chiqdi,,,– kim? nimaning? nimaning? Aksariyat traktorlar remont qilingani yo’q. 29 mashinaning abjag’i chiqib yotibdi. Yap-yangi etikning bir yildayoq abjag’ini chiqarib yubording,,
ADAB(I) BERILDI,kimning?,qilmishiga yarasha jazolamoq.,,,ADAB(I)NI BERMOQ,jazo(si)ni bermoq,,,"Xalilovdan gunohingni so’rab oldim. Bo’lmasa adabingni berardi. . Izzatini bilmagan itvachchani tutib, adabini berdirmasam, Madumar otimni boshqa qo’yib yuboraman.",M.Ismoiliy,Farg’ona tong otguncha
ADAB(I)NI YEMOQ,kim?[o’zining],qilmishiga yarasha jazo olmoq.,,,,ta’zir(i)ni yemoq,,,Bir karra adabini yegan Edgar Gladston … endi siyosatni suv qilib ichib olgan edi.,A.Muxtor,Opa-singillar
ADAM AYLAMOQ,kim?,"yo’qotmoq, yo’q qilmoq.",,,,,,,Adam yo’lini tutay zarra menda g’am bo’lsa.,Bobur.,
ADI-BADIGA BORMOQ,kim? [kim bilan?],janjallashuv darajasiga yetmoq.,,,,«san-man»ga; bor­moq,,,"... ammo bu tashkilotlar biror vazifa topshirsa, hech adi-badiga bormas, ko’ngliga yoqmasa ham, bajarar edi. Xayriyatki, Zarofat uncha-muncha gapni ko’ngliga olmay, adi-badiga bormay, Haydarni «jonim-jonim» deb, kulib yengishga intilar edi.",M.Muhammedov,Gavhar
ADI-BADI AYTISHMOQ,kimlar? o’zaro,turli mavzuda yengil-yelpi suhbatlashmoq.,1,,"adi-badi deyishmoq; u desa (...), bu demoq, bu; desa(...), u; demoq",,,,"Ba’zi gaplarini ichimda «Nafsil amr» deb tinglar edim. Adi-badi aytishib, qizning uyiga kelganimizni ham bilmay qolibmiz.",,
ADI-BADI AYTISHMOQ,kimlar? o’zaro,"so’z talashmoq, janjallashmoq.",2,,"adi-badi deyishmoq; u desa (...), bu demoq, bu; desa(...), u; demoq",,,,"Arzimagan narsaga adi-badi aytishib o’tirmanglar, o’g’lim, uyat bo’ladi... . Mahmud aka bu bosh og’rig’i boy o’g’illari bilan adi-badi deyishib o’tirishlikni o’ziga ortiqcha bilib, ildam yurib o’tib ketdi.",N.Maqsudiy,Bola yo’qotgan kishi
ADO BO’LMOQ,kim?,"juda qiynalmoq, azoblanmoq, tugamoq.",,,,,,,"Quyosh qip-qizil cho’g’ bo’lib botayotgan cho’l oqshomida hijronzada, alamzada, farzand dog’ida kuyib ado bo’lgan onani tuproqqa qo’yishdi.",S.Ahmad,Ufq
ADOVAT URUG’INI SOCHMOQ,kim?,"ig’vo tarqatmoq, gijgijlamoq, bir-biriga tezlamoq. –",,,,,,,"So’zingizda yanglish bor, qushbegi! Agar siz nafsilamrga qarasangiz, ikki xalqni bir-biriga sovuq ko’rsatib, adovat tuxumini sochib keluvchi bir nechagina odam bor.",A.Qodiriy,O’tkan kunlar
ADOYI TAMOM BO’LMOQ,ayn.,ado bo’lmoq.,,,,,,,"O’yinchoq adoyi tamom bo’ldi. Bechora kampir bu shum xabardan adoyi tamom bo’ldi-ku! – Shu-u… shu-u… – Saidmurod adoyi tamom bo’lib, beixtiyor muzxona o’rtasida turganday qalt-qalt titray boshladi.",S.Ahmad,Oydin kechalar
ADRESI YO’Q,,"betayin, tuturuqsiz.",,,,,,,"Adresi yo’q odam bilan jo’ra bo’lgandan keyin ahvoling shu bo’ladida, o’g’lim.",M.Muhamedov,Gavhar
AFLOTUN MIYA,,"bilimdon, juda aqlli, donishmand.",,,,,,,Shuning uchun men seni aflotun miya deyman-da,,
AFSONA BO’LMOQ,kim?,"elxalqqa gap-so’z bo’lmoq, elga doston bo’lmoq.",,,,,,,"Izlab seni har ko’chada, El ichra ko’p sharmanda ham afsona bo’ldim.",,
AFSUS YEMOQ,kim?,"afsuslanmoq, achinmoq, o’kinmoq, pushaymon bo’lmoq.",,,,,,,"Shu o’tirishga borganligimdan afsus yedim, bilmasdan borib qolibman.",Mushtum.,
AFT(I)GA QARAB BO’LMAY-,,"bosh-ko’zi nihoyatda loy, chang-to’zon.",,,,,,,"Gohda terga pishib, gohda changga belanib ketadi. Aftiga qarab bo’lmaydi.",I.Rahim,Hilola
AFT(I)NI YEL YOPSIN,kimning?,qarg’ashni bildiradi (ayollar nutqiga xos).,,,,bet(ing) qursin,,ayollar nutqiga xos,"«…otincham bo’larkan, aftini yel yopsin haromxo’rning», – javob qildi oshpaz ijirg’anib.",R.Fayziy,Cho’lga bahor keldi
AFV ETMOQ (yoki QILMOQ),,"kechirmoq, uzrni qabul qilmoq, gunohidan o’tmoq.",,,,,,,Bu lapashangligimiz uchun rahnamolarimiz bizni avf eturlarmi?,,
AHAMIYAT BERMOQ,kim? nimaga?,"zarur, foydali deb qarab diqqat qilmoq (rasmiy).",,,,,,,"U hali ko’proq boshqa xayollar bilan bosh qotirib, bu tomonlarga ahamiyat bermagan edi. Sizlar hozir masalaning nazariy tomonini olib, amaliy tomoniga uncha ahamiyat bermayapsizlar",P.Qodirov,Uch ildiz
AHD QILISHMOQ,,ayn. ahdlashmoq.,,,,,,,kechqurun Gulnorga borishga vagonchi bilan ahd qilishganligi yodiga tushdi.,,
AHMOQ QILMOQ,kim? kimni?,"laqillatmoq, aldamoq.",,,,,,,"meni yana ahmoq qilmoqchimisiz? Bu nomeringiz o’tmaydi, bizni ham savodimiz chiqib qolgan.",,
AHVOLI TANG,kimning?,juda qiyin ahvolda qolmoq.,,,,,,,Muydin qo’rboshining ahvoli tang. Yigitlari qochib ketdi.,Y.Shukurov,Qasos
AJAB BO’LDI (yoki BO’PTI),,"juda yaxshi bo’ldi, ko’ngildagiday bo’ldi (biror kimsa qilmishiga yarasha jazo olganda aytiladigan ibora).",,,,,,biror kimsa qilmishiga yarasha jazo olganda aytiladigan ibora,"...gazetada chiqqan felyetonni ko’rgan Hafiza.. ajab bo’libdi, dermikan? Yoki achinarmikin?",,
AJAB QILMOQ,kim,boplamoq.,,,,,,,"Mana shunday vaqtlarda til qotib og’izda aylanmay qoladi, mabodo aylansa, mushtning xizmatini qiladi, – Ajab qildim, – dedi Turobjon, – jigarlaring ezilib ketsin. .",,
AJAL HAYDAB KELMOQ,kimni?,tasodifan o’limga duch kelmoq.,,,ajal qistamoq,,,,"Abdusamad hojini ajal haydab kelgan ekan... Juda ko’p tuzoqlardan chiqib ketgan edi, bu gal omadi kelmadi.",H.Shams,Dushman
AJAL TEGMASLIK,kimga,"hech narsa bo’lmaslik, o’lmaslik.",,,,,,,"Bu yerda quzg’unning rizqi oshsa oshadiki, o’ziga ajal tegmaydi.",A.Muxtor,Davr mening taqdirimda
AJAL TO’NINI BICHMOQ,kim? kimga?,"o’ldirishga shaylanmoq, o’limi hozirligini ko’rmoq.",,,,,,,"Ajal to’nin bichib, minganman otga. . Yovga kirmay botir, dushman sanchmaydi, Yov bo’lmayin ajal to’nin bichmaydi.",,
AJAL URUG’INI SEPMOQ,kim?,"qirg’in qilmoq, ko’p odam o’ldirmoq, qiyratmoq.",,,,,,,"Balki ajal urug’ini sepib, bosib yanchib kelayotgan anovi krest tamg’ali tanklardan qo’rqayotgandir?!",S.Anorboyev,Safda
AJAL CHAQIRMOQ,kimni?,o’limga duch kelmoq.,,,,,,,"Umar qamoqxonada bir do’stini izlab sekin borgan edi, qo’lga tushib qoldi. Soqi bosmachi unga «Seni ajal chaqirmasa, bu yerda nima qilarding» – dedi.",Y.Shukurov,Qasos
AJAL(I) YETMOQ,kimning?,"o’lim soati, qazosi yetmoq.",,,,,,,"Qirq yil qirg’in bo’lsa, ajali yetgan o’ladi. Ajal yetsa, jon ayrilar bu tandan. Jallodlar zulmida og’ir kun ko’rdim. Yetmayin ajalim, qutulib qoldim.",,
AJAL(I)DAN BESH KUN BURUN,,"qazo qilishning o’z vaqtisoatidan ilgariroq, bevaqt.",,,,,,,"Qani, bo’ling, daftaringizni tezroq chiqaring, hisobingizni to’g’rilab, tezroq jo’naylik, bo’lmasa bu yerda muzlab qolib, ajalimizdan besh kun burun o’lamiz. O’g’rilar teshib, oldimga chiqqanlarida, men nima qila olar edim. Oh, otajon! Men ajalimdan besh kun burun o’lar edim.",A.Qodiriy,O’tgan kunlar
AJINA CHALMOQ,kimni?,"jin tegib, aqldan ozdirmoq.",,,"jin chalmoq, jin tegmoq",,,,"Falonchi odam yong’oq tagida uxlab yotgan ekan, ajina chalib ketibdi.",,
AJRIQQA AG’NAGANDAY,kim?,"notinch, bezovta holda azob chekib (yotmoq).",,,,,,,O’sha kuni tuni bilan ajriqqa ag’anagandek uxlolmapti.,,
AKASI BO’YIDAN,,"erkaklar nutqida qo’llanib, modal ma’no ifodalaydi.",,,,,,,"Ishlovni kuchaytirmasak, akasi bo’yidan, grafikni bajarish dumi xo’rjun bo’lgudek",,
AKSIGA OLMOQ (YURMOQ),,"xohish-istakka yoki buyruqqa qarshi ish tutmoq, kesma-kesarlik qilmoq.",1,,,,,,,,
AKSIGA OLMOQ (YURMOQ),,xohish-istakka qarshi yuz bermoq.,2,,,,,,"Aksiga olib, yomg’ir yog’di.",,
ALAM KETMOQ,,[alam ket ] tar.,,,,,,,"Bir yera azm etib alam ketti, Kelibon pardaga itob etti.",S.Saroyi,Gulistoni bit-turkiy
ALAM TOSHI SINMOQ,,[alam tašï sïn=] tar.,,,,,,,"O’nginda tushdakin ko’rganga u shod, Alam toshi sinib, dil bo’ldi ozod.",S.Saroyi,Suhayl va Guldursun
ALAMI KELMOQ,kimning?,"achchiqlanmoq, xunob bo’lmoq.",,,,,,,"Katta umid bilan kelganida, yagona sirdoshi va ishongan tog’i Olaxo’janing yaxshi qarshi olmaganiga juda alami keldi.",P.Tursun,O’qituvchi
ALAMINI ICHIDA SAQLAMOQ,kim?,"yomon niyatini sir tutmoq, qulay payt poylamoq, vaqtincha kutmoq.",,,,,,,"Gapning mazmuniga qaraganda, bor alamini ichida saqlab, payt poylab yurganga o’xshaydi.",P.Tursun,O’qituvchi
ALAMINI ICHIGA YUTMOQ,kim?,dardini hech kimga aytmaslik.,,,,,,,"– Ha, alamimni ichimga yutib, judolik oqibatiga bardosh bera olishim mumkin. Ammo og’ir haqoratlarga, achchiq ta’nalarga bardosh bera olmayman.",,
ALAM(I)NI OLMOQ,kim?[o’zining] kimdan?,alamzadaligini tarqatish uchun zulm qilmoq.,,,,,,,"Bir narsa yetishmasa, ona alamini nuqul Bekdan olardi Befarzandlik alamini fuqarodan olarkan.",S.Abdulla,Tohir va Zuhra
ALAMDAN CHIQMOQ,kim,"? urib-so’kib, o’ch olib, alamzadalikni tarqatmoq.",,,,xumordan; chiqmoq,,,"Qani endi shu topda Haydar uning ko’ziga ko’rinsa-yu, achchiq-achchiq gapirib, alamdan chiqsa! «Boplandi-a! – dedi va kuldi. – Bir alamdan chiqqandirsiz?»",P.Qodirov,Uch ildiz
ALANG-JALANG BO’LIB QOLMOQ,kim?,"nima qilishini bilmay qolmoq, hayron bo’lib qolmoq.",,,,,,,Isoqvoyning ko’zi quvonganidan alang jalang bo’lib qoldi. .,,
ALANGA OLMOQ,nima?,"kuchaymoq, zo’raymoq, shiddatli tus olmoq («g’azabi», «nafrati»).",,,,,,,"Yo bu nafsoniyat bir qalov bo’lib, boshqa kattaroq bir nafsoniyatni alanga oldirib yubordimikin? Hozirgacha ham yonmagan yurak bo’lsa, mana shuni eslatishing bilan alanga oladi . Alanga oldir. .",A.Qahhor,Sinchalak
ALANGA USTIGA KEROSIN QUYMOQ,kim?,"keskinlashtirmoq, kuchaytirmoq, gijgijlamoq.",,,alanga ustiga moy quymoq,,,,"Qo’ying, siz ham, xunobimni oshirib, tutoqtiravermang, alanga ustiga kerosin quymang.",B.Rahmon,Yurak sirlari
ALI BOG’LI,,[eli baγlï] tar.,,,,,,,"...boylardan boshlab so’zni bu yerga kelturdikim, faqirlarning qudrati ali bog’li dag’i boylarning irodati ayog’i sinib turur.",S.Saroyi,Gulistoni bit-turkiy
ALI OVUCHI TOR,,[eli avučï] tar.,,,,"qo’li; yupqa, qo’li yuqa",,,Ali ovuchi tor miskinlarga oltun aqcha ulashturdi dag’i musofirlarga sufralar to’kdi...,S.Saroyi,Gulistoni bit-turkiy
"ALINI KO’RIB, VALI DEMOQ",kim?,"adashmoq, noto’g’ri tushunib yurmoq. – Voy aylanay, biz Alini ko’rib, Vali deb yurgan ekanmiz. B.Halil. Sovchilar. alifni kaltak deyolmaslik",,,,,,,,,
ALIFNI KALTAK DEYOLMASLIK,kim?,"g’irt savodsiz bo’lmoq, hech narsa bilmaslik.",,,"alifni tayoq deyolmaslik; alifni tayoq; demoq; qorn(i)ni yorsa(...), alif chiqmaydi; alifni ham bilmaydi",,,,"Yo’g’e, qanaqa qilib o’qirdim. Alifni kaltak deyolmayman-ku. Men-ku bunday masalada alifni tayoq deyolmayman, ammo injenerlarga ishonaman. Alifni tayoq deydigan savodsiz Xurram kal bilan yoshligida «Haftiyak»ka tushmayoq maktabga bormay qo’ygan usta Zamon...",Sh.Toshmatov,Erk qushi
ALIK OLMOQ,kim?,"salomlashganda javob so’zini aytmoq («salom» demoq, «vaalaykum assalom» demoq).",,,salom(i)ga alik olmoq,,salom bermoq,,"Ochil unga rasmiy salom berar, Zamira ham shunga yarasha alik olardi. Salom bersangiz, «bekor aytibsan» deganga o’xshab alik oladigan odam shirin so’z bo’lib hol-ahvol so’radi. Nazir ota bu gal uning salomiga alik olmay, «Beting qursin!» deganday yuzini teskari o’girib o’tib ketdi.",S.Ahmad,Kuyov
"ALIN, AYOQIN O’PMOQ",,"[elin, ajaqïn ӧp=] tar.",,,,,,,"Kemachi istig’for keturub, nifoq bilan borishib, yigitning alin, ayoqin o’pub, kemaga kirib kettilar.",S.Saroyi,Gulistoni bit-turkiy
ALIN-ALGA URMOQ,,[elin elgӓ ur=] tar.,,,,,,,"Alin alga urub aytqay jazodur, O’gut olmas kishiga buyla mehnat.",S.Saroyi,Gulistoni bit-turkiy
ALIN QISQA QILMOQ,,[elin qïsqa qïl=] tar.,,,,,,,"Dag’i dunyoning havo va havasinda alin qisqa qildi. Ani ko’rub, hasudlarning tili uzun bo’ldi.",S.Saroyi,Gulistoni bit-turkiy
ALIN TISHLAMOQ,,[elin tïšla=] tar.,,,,,,,"Bir ishni kim o’fka bilan ishlagay, Qilib, hayf, so’ngra alin tishlagay.",S.Saroyi,Gulistoni bit-turkiy
ALIN TUTMOQ,,[elin tut=] tar.,,,,,,,Gar saodat yana alin tutsa.,S.Saroyi,Gulistoni bit-turkiy
ALIN UZAT=,,[alin uzatmoq] tar.,,,,,,,Bir sulton o’z raiyati molina zulm alin uzatib javr eta boshladi.,S.Saroyi,Gulistoni bit-turkiy
ALIN CHEKIB,,[elin ček=] tar.,,,,,,,Hokim andan alin chekib aytti…,S.Saroyi,Gulistoni bit-turkiy
ALINA TUSHMOQ,,[elinӓ tüš=] tar.,,,,,,,"Shukr qilkim, bir mu’jib yigit alina tushmading kim, har kun bir havog’a uchkay...",S.Saroyi,Gulistoni bit-turkiy
ALINDA BOR,,[elindӓ bar ] tar.,,,,,,,"Aningkim bor elinda mansab-u joh, Solib tarh ul qilur doyim tijorat.",S.Saroyi,Gulistoni bit-turkiy
ALINDAN KELMASLIK,,[elindӓn kelmä=] tar.,,,,,,,Nechun quri qamishdan shakkar tama’ qilursan. Kelmas bo’ri alin dan farvachilik bilursan.,S.Saroyi,Gulistoni bit-turkiy
ALINDAN OLMOQ,,[elindӓn al=] tar.,,,,,,,"Ul malikkim doim elga va ulusqa kuch qilur, Oqibat mulkin alindan bir qaviy dushman olur.",S.Saroyi,Gulistoni bit-turkiy
ALINI ETAKINDAN CHEKMOQ,,[elin etäkindin ček=] tar.,,,,,,,"Xotirima xush kelmadi, alimni etakindan chekib ayttim.",S.Saroyi,Gulistoni bit-turkiy
ALINI KO’TARIB,,[elin kӧtӓr=] tar.,,,"qo’llarini; ko’tarmoq, qo’llarini ochmoq",,,,Duo vaqtin tazarru’ning alini ko’tarib tangridan rahmat tilarsan.,S.Saroyi,Gulistoni bit-turkiy
ALINING KEKININ VALIDAN OLMOQ,kim?,alamini boshqadan olmoq.,,,,,,,"Bu kutish kunlarimda na uchundir yonimdagi xalfa shogirdlar bilan bo’ladigan muomalalarim ham o’zgara boshlagan, ya’ni so’zlarim dag’al va tundlikka aylangan, go’yo buning ila Alining kekini Validan olardim.",A.Qodiriy,O’tgan kunlar
ALINGDA SULAYMONCHA QUVVAT BO’LMOQ,,[eliŋdӓ Sulajmanča quvvat bol=] tar.,,,,,,,"Qorancha xotirin ozor qilma, Sulaymoncha alingda bo’lsa quvvat.",S.Saroyi,Gulistoni bit-turkiy
ALIXO’JA – XO’JAALI,,"bari bir, har ikki holatda ham o’zgarish yo’q.",,,,,,,"Orada yana kambag’al, o’rta hol, mushtumzo’r degan gaplar kelib chiqadi. Batrak, kambag’al yana kulak eshigiga xizmatga keladi. Alixo’ja – Xo’jaali deb shuni aytiladi.",P.Tursun,O’qituvchi
ALJIB QO’YMOQ,kim? nima haqida?,sirni beixtiyor aytib qo’ymoq.,,,,,,,"– Oh, bilib qoldilarmi? – dedi u va o’z peshonasiga qattiq mushtladi-da, yana so’radi: – Nima balo, mastlik qilib biror joyda aljib qo’ymadingmi?",P.Tursun,O’qituvchi
ALMISOQDAN BERI,,juda qadimdan.,,,almisoqdan buyon,daqyonusdan beri,,,"...almisoqdan beri otquloq ham unmay yotgan Mirzacho’ldan shunchalik hosil olsak, yomonmi? Almisoqdan buyon tegirmon toshlarini aylantirgan bu suv endi boshqa ishga xizmat qilsin.",A.Muhiddin,G’anisher
ALMISOQDAN QOLGAN,,"juda eski, qadimgi.",,,,"daqyonusdan qolgan; Odam atodan qolgan; Amir Temurdan qolgan, Afrosiyobdan qolgan",,,"Arava bo’lsa almisoqdan qolgan, yana sinibdi. Shu ot, shu arava bilan shaharga yuk olib borarmidingiz?! Mana, odamlar …paxtalarni almisoqdan qolgan chig’iriqda emas, mashinada chiqarishyapti.",M.Ismoiliy,Farg’ona tong otguncha
ALOQA(SI)NI UZMOQ,kim? [o’zining] kim bilan?,muomalada bo’lishni uzil-kesil to’xtatmoq.,,,,orani uzmoq,,,"Nigora Sherbek bilan allaqachon aloqasini uzishga uzgan-u, lekin negadir o’zi bilan ham muomalasi ko’ngildagiday emas. Roziya bilan aloqani uzib borgan kunlari ular bir joyda uchrashib, gaplashib qoldilar.",O.Yoqubov,Tilla uzuk
ALG’OV-DALG’OV QILMOQ,kim? qayerni?,"to’s-to’polon qilmoq, ostin-ustin qilmoq.",,,,,,,Urush qishloqni alg’ov-dalg’ov qilib yubordi.,I.Rahim,Chin muhabbat
ALCHOQ KO’NGULLI,,"[alčaq köŋülli] tar. kamtar, samimiy, sofdil, g’ayirlikni bilmaydigan.",,,,"ko’ngli ochiq, ochiq ko’ngil",,,"Karimunnafs, sohib xulq, buyuk himmatli, alchoq ko’ngulli ulug’a, kichikka e’zoz va ikrom va ehson qilib, g’aybatlarinda xayrin so’zlar edi.",S.Saroyi,Gulistoni bit-turkiy
AMAL TEGDI,kimga?,mansabdor bo’lib qolmoq.,,,,,,,"Ammo, qizim, senga bitta gapim shuki, amal tegdi deb oshiqma. Bo-o Xudo! Ammangga ham amal tegib qolgan. Kecha-yu kunduz churvaqalar bilan o’ralashgani-o’ralashgan.",H.Nazir,Tomosha
AMALDAN TUSHMOQ,kim?,egallab turgan lavozimini yo’qotmoq.,,,amal(i)dan tushmoq,,,,"«Tilginangga tilkichak chiqqur malla, – deb qarg’adi ichida Abdulaziz boqqol. – «Pochcham», «jiyanlarim» dey qolsa, amaldan tushib qolarmidi!» O’zi, Hakimov amalidan tushganidan beri Ziynatullayev unga juda hurmatsizlik bilan muomala qiladigan bo’lib qolgan edi.",P.Qodirov,Uch ildiz
AMALGA MINMOQ,kim?,yuksak lavozimni egallamoq.,,,,,,,"Hamma idoralarga kirib, ishini ko’raverar ekan... Katta amalga minibdi.",A.Qahhor,Sarob
AMALGA OSHIRMOQ,kim? nimani?,voqelikka aylanmoq.,,,AMALGA OSHMOQ; amalga oshirilmoq,,,,"Bu ishga ham birorta azamat bosh qo’shsa, ajab emas, amalga oshib qolsa. Endi bularni amalga oshirish «Kichik garnizon»ning jangovarlik qobiliyatiga bog’liq edi. Institutga xat yozib, aloqa bog’lash fikri tug’ilib qoldi. Bu fikrni ham darrov amalga oshirdim.",O.Yoqubov,Ikki muhabbat
AMERIKA OCHMOQ,kim?,"yangilik ijod qilmoq, kashf qilmoq.",,,,,,,Men sizga Amerika oching deyotganim yo’q-ku.,,
AMMAMNING BUZOG’I,,"landavur, lapashang.",,,,,,,"«Bektemirdan ko’nglim to’q, – dedi Ali tajang, – kallasi ishlaydi. Ammo Safar cho’tir – u ham qo’rqoq, ham ammamning buzog’i».",,
AMR QILMOQ (yoki ETMOQ),kim? kimga?,"buyruq bermoq, buyurmoq.",,,,,,,"Janoblari amr qilgan ekanlar, xizmatlariga bosh egib keldim.",,
AMRI MAHOL,nima?,"qilish qiyin, amalga oshirish qiyin.",,,,,,,Saidg’ozidan yo’lkira undirish amri mahol Qudrat unga gap uqtirish amri mahol ekanini sezdi. Lekin bari bir maqsadga yetmoq amri mahol bo’ldi – mening tahsilim chala qoldi.,H.Nazir,Ko’korol chiroqlari
AMRIDAN CHIQMASLIK,kim? kimning?,"aytganini qilmoq, bo’ysunmoq.",,,,,,,"Sen mendan ilmlisan, biroq men sendan kuchliman. Shuning uchun amrimdan chiqmaysan, kelin!",Sh.Rashidov,Bo’rondan kuchli
ANA-MANA DEB,,mayda-chuyda sabablar bilan kechiktiraverib.,,,,,,,Ana-mana deb oradan bir oycha vaqt o’tdi. biz ana-mana deb shu vaqtgacha sudrab keldik.,S.Anorboyev,"Eh, yomon bo’ldi"
"ANA-MANA DEGUNCHA, KAMPIR SHAFTOLI YEGUNCHA",,juda tez.,,,ana-mana deguncha,,,,"Ana-mana deguncha, kampir shaftoli yeguncha, Avazxon qo’rg’ondan o’tdi.",,
ANDARMON BO’LMOQ,kim? nimaga? yoki kimga?,"biror mashg’ulot, ish va sh.k. ga berilmoq, qiziqib ketmoq.",,,,,,,"Obid Yo’ldoshevichning, boshqa ishlarga andarmon bo’lib, gazeta chiqarishga bevosita qatnasha olmadik.",P.Qodirov,Uch ildiz
ANDISHA QILMOQ,kim?,"uyalib, odob bilan ish qilmoq.",,,,,,,"– Sen mendan emas, mana bu norastadan andisha qil, soldat, uning ko’zidan qo’rq, – dedim.",A.Muxtor,Davr mening taqdirimda
ANDISHANING OTINI QO’RQOQ QO’YMOQ,kim?,"xushmuomala, muloyim, sermulozamat munosabatda bo’lishni, hurmat qilishni qo’rqoqlik belgisi deb tushunmoq.",,,,,,,"Safar bo’zchi turgan o’rnidan siljimadi: – Cho’zma kekirdagingni, bo’qoq, – dedi, – qani qo’yib berchi taqsiringni, yoqalashsin-chi men bilan! Andishaning otini qo’rqoq qo’ydingmi?!",A.Qodiriy,Mehrobdan chayon
ANDOZA OLMOQ,kim? nimadan?,namuna sifatida qabul qilmoq.,,,,,,,Uch-to’rt kishi bo’lib boramiz. Qiladigan majlisimizga aktivdan andoza ko’taramiz-da! .,,
ANJIR QILIB YUBORMOQ,kim? nimani? yoki kimni?,"ezib yubormoq, majaqlab tashlamoq.",,,,,,,"Kecha uni shunday do’pposlashdiki, anjir qilib yuborishlariga sal qoldi.",,
ANOYI EMAS,kim?,"mug’ombir, o’z ishini bilib qiladigan.",,,,,,,Mirsalim ham anoyi odamlardan emas.,,
ANQOGA SHAFE,nima?,"topilishi qiyin, kamyob (eskirgan; kesim vazifasida keladi).",,,,anqoning tuxumi,,,"Qahraton qish edi. Bir tuxum anqoga shafe. Rayim chorvani Anjonga choptirgan kim edi? To’g’ri, lekin yaxshi maslahat hammadan chiqavermaydi-da. Bizning xotinlardan ham chiqsa-chi! Yaxshi maslahat emas, bir og’iz bama’ni gap – anqoga shafe!",A.Qahhor,Qo’shchinor chiroqlari
ANQONING TUXUMI,nima?,"topilishi qiyin, kamyob (kesim vazifasida keladi).",,,anqoning; urug’i,anqoga shafe,,,"Ammo Ahmad Husayn bu shaharda, uning yuzlarcha chaqirim tevaragida har qanday qora ish anqoning tuxumi ekanini yaxshi bilardi. «Yaxshilikka yomonlik... Bir og’iz shirin so’z anqoning urug’imi?..» – deb o’pkalandi. Odam anqoning urug’iday bo’lib turganda, shu to’qqizta qo’chqorga ham alohida cho’ponmi, chiroq?",S.Anorboyev,Oqsoy
APOQ-CHAPOQLASHMOQ,kim? kim bilan?,"inoqlashmoq, apoqchapoq bo’lib ketmoq.",,,,,,,Fotima bilan apoq-chapoqlashib yurganlaringizni o’z ko’zi bilan ko’rganlar bor-ku!,M.Jabborov,Sevinch yoshlari
AQL BITMADI,kimga?,aql bilan ish qiladigan bo’lmaslik.,,,,,,,"Bu nimasi tag’in, endi kuning suvoqchilikka qoldimi? Senga sira aql bitmadi.",,
AQL TOPMOQ,kim?,"o’ylamoq, fikrlamoq, es-hushini yig’ib olmoq.",,,,,,,"Behuda yonma, uka, aql top",,
